repo,scenario,type,system,oracle_files,file_tp,file_fp,file_fn
talkai,TBL-account,table,naive_edit,67,0,1,67
talkai,TBL-account,table,lexical,67,3,4,64
talkai,TBL-account,table,static,67,67,0,0
talkai,TBL-account,table,uce,67,67,7,0
talkai,COL-account-access_token,column,naive_edit,67,0,1,67
talkai,COL-account-access_token,column,lexical,67,8,7,59
talkai,COL-account-access_token,column,static,67,67,0,0
talkai,COL-account-access_token,column,uce,67,67,0,0
talkai,COL-account-access_token_expires_at,column,naive_edit,67,0,1,67
talkai,COL-account-access_token_expires_at,column,lexical,67,8,17,59
talkai,COL-account-access_token_expires_at,column,static,67,67,0,0
talkai,COL-account-access_token_expires_at,column,uce,67,67,0,0
talkai,TBL-agents,table,naive_edit,61,0,1,61
talkai,TBL-agents,table,lexical,61,19,6,42
talkai,TBL-agents,table,static,61,61,0,0
talkai,TBL-agents,table,uce,61,61,14,0
talkai,COL-agents-created_at,column,naive_edit,0,0,1,0
talkai,COL-agents-created_at,column,lexical,0,0,5,0
talkai,COL-agents-created_at,column,static,0,0,0,0
talkai,COL-agents-created_at,column,uce,0,0,67,0
talkai,COL-agents-id,column,naive_edit,61,0,1,61
talkai,COL-agents-id,column,lexical,61,13,12,48
talkai,COL-agents-id,column,static,61,61,0,0
talkai,COL-agents-id,column,uce,61,61,11,0
talkai,TBL-meetings,table,naive_edit,61,0,1,61
talkai,TBL-meetings,table,lexical,61,22,3,39
talkai,TBL-meetings,table,static,61,61,0,0
talkai,TBL-meetings,table,uce,61,61,13,0
talkai,COL-meetings-agent_id,column,naive_edit,57,0,1,57
talkai,COL-meetings-agent_id,column,lexical,57,13,12,44
talkai,COL-meetings-agent_id,column,static,57,57,0,0
talkai,COL-meetings-agent_id,column,uce,57,57,10,0
talkai,COL-meetings-created_at,column,naive_edit,0,0,1,0
talkai,COL-meetings-created_at,column,lexical,0,0,5,0
talkai,COL-meetings-created_at,column,static,0,0,0,0
talkai,COL-meetings-created_at,column,uce,0,0,67,0
talkai,TBL-session,table,naive_edit,67,0,1,67
talkai,TBL-session,table,lexical,67,17,4,50
talkai,TBL-session,table,static,67,67,0,0
talkai,TBL-session,table,uce,67,67,5,0
talkai,COL-session-created_at,column,naive_edit,67,0,1,67
talkai,COL-session-created_at,column,lexical,67,8,17,59
talkai,COL-session-created_at,column,static,67,67,0,0
talkai,COL-session-created_at,column,uce,67,67,0,0
talkai,COL-session-expires_at,column,naive_edit,67,0,1,67
talkai,COL-session-expires_at,column,lexical,67,8,17,59
talkai,COL-session-expires_at,column,static,67,67,0,0
talkai,COL-session-expires_at,column,uce,67,67,0,0
talkai,TBL-user,table,naive_edit,57,0,1,57
talkai,TBL-user,table,lexical,57,11,14,46
talkai,TBL-user,table,static,57,57,0,0
talkai,TBL-user,table,uce,57,57,20,0
talkai,COL-user-created_at,column,naive_edit,0,0,1,0
talkai,COL-user-created_at,column,lexical,0,0,5,0
talkai,COL-user-created_at,column,static,0,0,0,0
talkai,COL-user-created_at,column,uce,0,0,67,0
talkai,COL-user-email,column,naive_edit,0,0,1,0
talkai,COL-user-email,column,lexical,0,0,5,0
talkai,COL-user-email,column,static,0,0,0,0
talkai,COL-user-email,column,uce,0,0,69,0
talkai,TBL-verification,table,naive_edit,67,0,1,67
talkai,TBL-verification,table,lexical,67,1,1,66
talkai,TBL-verification,table,static,67,67,0,0
talkai,TBL-verification,table,uce,67,67,5,0
talkai,COL-verification-created_at,column,naive_edit,67,0,1,67
talkai,COL-verification-created_at,column,lexical,67,8,17,59
talkai,COL-verification-created_at,column,static,67,67,0,0
talkai,COL-verification-created_at,column,uce,67,67,0,0
talkai,COL-verification-expires_at,column,naive_edit,67,0,1,67
talkai,COL-verification-expires_at,column,lexical,67,8,17,59
talkai,COL-verification-expires_at,column,static,67,67,0,0
talkai,COL-verification-expires_at,column,uce,67,67,0,0
talkai,FIL-src_lib_utils.ts,file,naive_edit,144,1,0,143
talkai,FIL-src_lib_utils.ts,file,lexical,144,25,0,119
talkai,FIL-src_lib_utils.ts,file,static,144,144,0,0
talkai,FIL-src_lib_utils.ts,file,uce,144,133,0,11
talkai,FIL-src_components_ui_button.tsx,file,naive_edit,83,1,0,82
talkai,FIL-src_components_ui_button.tsx,file,lexical,83,22,3,61
talkai,FIL-src_components_ui_button.tsx,file,static,83,83,0,0
talkai,FIL-src_components_ui_button.tsx,file,uce,83,72,0,11
talkai,FIL-src_trpc_client.tsx,file,naive_edit,42,1,0,41
talkai,FIL-src_trpc_client.tsx,file,lexical,42,16,9,26
talkai,FIL-src_trpc_client.tsx,file,static,42,42,0,0
talkai,FIL-src_trpc_client.tsx,file,uce,42,42,0,0
talkai,FIL-src_components_ui_input.tsx,file,naive_edit,36,1,0,35
talkai,FIL-src_components_ui_input.tsx,file,lexical,36,14,11,22
talkai,FIL-src_components_ui_input.tsx,file,static,36,36,0,0
talkai,FIL-src_components_ui_input.tsx,file,uce,36,36,0,0
talkai,FIL-src_components_generated-avatar.tsx,file,naive_edit,31,1,0,30
talkai,FIL-src_components_generated-avatar.tsx,file,lexical,31,14,10,17
talkai,FIL-src_components_generated-avatar.tsx,file,static,31,31,0,0
talkai,FIL-src_components_generated-avatar.tsx,file,uce,31,31,0,0
talkai,FIL-src_lib_auth-client.ts,file,naive_edit,37,1,0,36
talkai,FIL-src_lib_auth-client.ts,file,lexical,37,14,11,23
talkai,FIL-src_lib_auth-client.ts,file,static,37,37,0,0
talkai,FIL-src_lib_auth-client.ts,file,uce,37,32,0,5
melodi,TBL-badges,table,naive_edit,21,1,0,20
melodi,TBL-badges,table,lexical,21,3,0,18
melodi,TBL-badges,table,static,21,21,0,0
melodi,TBL-badges,table,uce,21,21,18,0
melodi,COL-badges-description,column,naive_edit,21,1,0,20
melodi,COL-badges-description,column,lexical,21,3,4,18
melodi,COL-badges-description,column,static,21,21,0,0
melodi,COL-badges-description,column,uce,21,21,3,0
melodi,COL-badges-icon,column,naive_edit,21,1,0,20
melodi,COL-badges-icon,column,lexical,21,3,7,18
melodi,COL-badges-icon,column,static,21,21,0,0
melodi,COL-badges-icon,column,uce,21,21,4,0
melodi,TBL-drawings,table,naive_edit,4,0,1,4
melodi,TBL-drawings,table,lexical,4,2,2,2
melodi,TBL-drawings,table,static,4,4,0,0
melodi,TBL-drawings,table,uce,4,4,33,0
melodi,COL-drawings-created_at,column,naive_edit,0,0,1,0
melodi,COL-drawings-created_at,column,lexical,0,0,5,0
melodi,COL-drawings-created_at,column,static,0,0,0,0
melodi,COL-drawings-created_at,column,uce,0,0,21,0
melodi,COL-drawings-data_json,column,naive_edit,0,0,1,0
melodi,COL-drawings-data_json,column,lexical,0,0,5,0
melodi,COL-drawings-data_json,column,static,0,0,0,0
melodi,COL-drawings-data_json,column,uce,0,0,21,0
melodi,TBL-hotspots,table,naive_edit,7,0,1,7
melodi,TBL-hotspots,table,lexical,7,3,4,4
melodi,TBL-hotspots,table,static,7,7,0,0
melodi,TBL-hotspots,table,uce,7,7,34,0
melodi,COL-hotspots-created_at,column,naive_edit,7,0,1,7
melodi,COL-hotspots-created_at,column,lexical,7,1,6,6
melodi,COL-hotspots-created_at,column,static,7,7,0,0
melodi,COL-hotspots-created_at,column,uce,7,7,14,0
melodi,COL-hotspots-expires_at,column,naive_edit,0,0,1,0
melodi,COL-hotspots-expires_at,column,lexical,0,0,5,0
melodi,COL-hotspots-expires_at,column,static,0,0,0,0
melodi,COL-hotspots-expires_at,column,uce,0,0,21,0
melodi,TBL-markers,table,naive_edit,7,0,1,7
melodi,TBL-markers,table,lexical,7,3,4,4
melodi,TBL-markers,table,static,7,7,0,0
melodi,TBL-markers,table,uce,7,7,33,0
melodi,COL-markers-created_at,column,naive_edit,7,0,1,7
melodi,COL-markers-created_at,column,lexical,7,1,6,6
melodi,COL-markers-created_at,column,static,7,7,0,0
melodi,COL-markers-created_at,column,uce,7,7,14,0
melodi,COL-markers-hotspot_id,column,naive_edit,7,0,1,7
melodi,COL-markers-hotspot_id,column,lexical,7,2,5,5
melodi,COL-markers-hotspot_id,column,static,7,7,0,0
melodi,COL-markers-hotspot_id,column,uce,7,7,14,0
melodi,TBL-objects,table,naive_edit,2,0,1,2
melodi,TBL-objects,table,lexical,2,2,0,0
melodi,TBL-objects,table,static,2,2,0,0
melodi,TBL-objects,table,uce,2,2,35,0
melodi,COL-objects-created_at,column,naive_edit,0,0,1,0
melodi,COL-objects-created_at,column,lexical,0,0,5,0
melodi,COL-objects-created_at,column,static,0,0,0,0
melodi,COL-objects-created_at,column,uce,0,0,21,0
melodi,COL-objects-hotspot_id,column,naive_edit,2,0,1,2
melodi,COL-objects-hotspot_id,column,lexical,2,0,2,2
melodi,COL-objects-hotspot_id,column,static,2,2,0,0
melodi,COL-objects-hotspot_id,column,uce,2,2,19,0
melodi,TBL-unlocked_models,table,naive_edit,10,0,1,10
melodi,TBL-unlocked_models,table,lexical,10,2,8,8
melodi,TBL-unlocked_models,table,static,10,10,0,0
melodi,TBL-unlocked_models,table,uce,10,10,26,0
melodi,COL-unlocked_models-id,column,naive_edit,10,0,1,10
melodi,COL-unlocked_models-id,column,lexical,10,2,8,8
melodi,COL-unlocked_models-id,column,static,10,10,0,0
melodi,COL-unlocked_models-id,column,uce,10,10,26,0
melodi,COL-unlocked_models-model_id,column,naive_edit,10,0,1,10
melodi,COL-unlocked_models-model_id,column,lexical,10,1,9,9
melodi,COL-unlocked_models-model_id,column,static,10,10,0,0
melodi,COL-unlocked_models-model_id,column,uce,10,10,11,0
melodi,TBL-user_badges,table,naive_edit,21,1,0,20
melodi,TBL-user_badges,table,lexical,21,13,8,8
melodi,TBL-user_badges,table,static,21,21,0,0
melodi,TBL-user_badges,table,uce,21,21,0,0
melodi,COL-user_badges-badge_id,column,naive_edit,21,1,0,20
melodi,COL-user_badges-badge_id,column,lexical,21,10,11,11
melodi,COL-user_badges-badge_id,column,static,21,21,0,0
melodi,COL-user_badges-badge_id,column,uce,21,21,0,0
melodi,COL-user_badges-earned_at,column,naive_edit,21,1,0,20
melodi,COL-user_badges-earned_at,column,lexical,21,7,14,14
melodi,COL-user_badges-earned_at,column,static,21,21,0,0
melodi,COL-user_badges-earned_at,column,uce,21,21,0,0
melodi,TBL-user_stats,table,naive_edit,21,1,0,20
melodi,TBL-user_stats,table,lexical,21,12,9,9
melodi,TBL-user_stats,table,static,21,21,0,0
melodi,TBL-user_stats,table,uce,21,21,0,0
melodi,COL-user_stats-drawings_created,column,naive_edit,21,1,0,20
melodi,COL-user_stats-drawings_created,column,lexical,21,11,10,10
melodi,COL-user_stats-drawings_created,column,static,21,21,0,0
melodi,COL-user_stats-drawings_created,column,uce,21,21,0,0
